,commenter,responds_to
0,Borkkito,Borkkito
1,OldAnxiety,Borkkito
2,Borkkito,Borkkito
3,S_B_5_8,Borkkito
4,ripichipi25,Borkkito
5,FullIndignation,Borkkito
6,achorio,Borkkito
7,yernidef,Borkkito
8,Ziozark,Borkkito
9,GastosComunes,Borkkito
10,Matoxina,Borkkito
11,tarzanboyz,Borkkito
12,NeedlearnArabdguy,Borkkito
13,Jero_TG,Borkkito
14,Novakpoa,Borkkito
15,Climadeagosto,Borkkito
16,HarrityRandall,Borkkito
17,maxisilv,Borkkito
18,oskimac,Borkkito
19,Edefery,Borkkito
20,agusgm2002,Borkkito
21,Blodhgram22,Borkkito
22,Eugegar,Borkkito
23,N4M3L35S,Borkkito
24,BiggieTheUnlikely,Borkkito
25,chiisai_kuma,Borkkito
26,goldgrey15,Borkkito
27,PM_YOUR_HEDGEHOGS,Borkkito
28,therealmaeunu,Borkkito
29,Matoxina,Borkkito
30,Cerulean-Knight,Borkkito
31,MoleroInTheBrain,Borkkito
32,EdgarVarese,Borkkito
33,ronkonkokokita,Borkkito
34,OldAnxiety,Borkkito
35,Slaayer_,Borkkito
36,ChipChiposa,Borkkito
37,newBaraja,Borkkito
38,AAG2273,Borkkito
39,sap323,Borkkito
40,palomas_uy,Borkkito
41,acceder,Borkkito
42,somedude_0,Borkkito
43,MauBlackLagoon,Borkkito
44,p3rdigot0,Borkkito
45,jokermex,Borkkito
46,Tmonje90,Borkkito
47,Bruu_,Borkkito
48,black_knife201,Borkkito
49,intensive-porpoise,Borkkito
50,Elratauru,Borkkito
51,tumamaenlacueva,Borkkito
52,MartinKing84,Borkkito
53,AquaNymph96,Borkkito
54,uruguay4n,Borkkito
55,Dear_Ad_3860,Borkkito
56,DragEconomy,Borkkito
57,EdgarVarese,Borkkito
58,Due-Equivalent-3957,Borkkito
59,polishkow20,Borkkito
60,TraposWeeb,Borkkito
61,Made_In_Korea,Borkkito
62,SurrealNautilus,Borkkito
63,Borkkito,OldAnxiety
64,palomas_uy,OldAnxiety
65,tulkas45,Borkkito
66,yael_18BTC,Borkkito
67,CharruaBOT,Borkkito
68,Dismal-Guava9362,S_B_5_8
69,Borkkito,FullIndignation
70,Borkkito,yernidef
71,Borkkito,tarzanboyz
72,Ratt28,agusgm2002
73,Borkkito,PM_YOUR_HEDGEHOGS
74,ToMateUnMateOUnChori,PM_YOUR_HEDGEHOGS
75,Borkkito,Cerulean-Knight
76,Elratauru,Elratauru
77,Borkkito,EdgarVarese
78,Borkkito,Made_In_Korea
79,black_knife201,SurrealNautilus
80,EdgarVarese,SurrealNautilus
81,OldAnxiety,Borkkito
82,OldAnxiety,palomas_uy
83,GoodbyeBlueMonday,Dismal-Guava9362
84,Tmonje90,Borkkito
85,chuardo,Ratt28
86,EdgarVarese,Borkkito
87,EdgarVarese,Borkkito
88,Bararoo,Borkkito
89,StellarSteals,Borkkito
90,Borkkito,OldAnxiety
91,RemindMeBot,StellarSteals
92,black_knife201,StellarSteals
