commenter,responds_to,is_root_comment,post_id,created_utc,score
Fixitformethankyou,fleetvangreta,True,qf3mcs,1635122214.0,1
Anal-Vibration,fleetvangreta,True,qf3mcs,1635118667.0,1
fleetvangreta,Fixitformethankyou,False,qf3mcs,1635123475.0,1
tecfa96,Anal-Vibration,False,qf3mcs,1635122027.0,1
bot_canillita,RouCitizen,True,qf3hzm,1635116709.0,1
jubiladoviolento,noodlion97,True,qf3bb0,1635116452.0,8
geniowe2002,noodlion97,True,qf3bb0,1635118647.0,1
enqdzj,noodlion97,True,qf3bb0,1635118670.0,1
Schnackenpfeffer,noodlion97,True,qf3bb0,1635119090.0,1
JPHierophant,noodlion97,True,qf3bb0,1635119812.0,1
esteban_108,noodlion97,True,qf3bb0,1635120637.0,1
Fixitformethankyou,noodlion97,True,qf3bb0,1635122364.0,1
No-Direction3939,noodlion97,True,qf3bb0,1635123406.0,1
noodlion97,jubiladoviolento,False,qf3bb0,1635116524.0,3
noodlion97,enqdzj,False,qf3bb0,1635118832.0,1
jubiladoviolento,noodlion97,False,qf3bb0,1635116657.0,5
Sir_Chivo,Chronox157,True,qf397q,1635116985.0,1
Teutonicuss,Chronox157,True,qf397q,1635121106.0,1
Chronox157,Sir_Chivo,False,qf397q,1635117193.0,1
Sir_Chivo,Chronox157,False,qf397q,1635117780.0,1
Estebanm95,ViudaParaguaya,True,qf3208,1635119878.0,1
markabrake,ViudaParaguaya,True,qf3208,1635117419.0,1
TheGameOfS,urymasa1970,True,qf2qtp,1635119551.0,1
MattKerplunk,urymasa1970,True,qf2qtp,1635115226.0,9
guille_ur,urymasa1970,True,qf2qtp,1635116254.0,3
exellius22,urymasa1970,True,qf2qtp,1635116449.0,3
Dear_Ad_3860,urymasa1970,True,qf2qtp,1635120691.0,1
Cheap-Relationship86,Party_Spirit9992,True,qf2mfp,1635115833.0,4
tecfa96,Party_Spirit9992,True,qf2mfp,1635115642.0,3
